Frame,Drop Height,Change,Distance
1110,182,0,0
1111,95,-87,0
1112,95,0,0
1113,720,625,0
1114,720,0,0
1115,720,0,0
1116,720,0,0
1117,720,0,0
1118,182,-538,0
1119,182,0,0
1120,714,532,0
1121,95,-619,0
1122,95,0,0
1123,84,-11,0
1124,95,11,0
1125,95,0,0
1126,182,87,0
1127,182,0,0
1128,182,0,0
1129,74,-108,0
1130,95,21,0
1131,95,0,0
1132,95,0,0
1133,182,87,0
1134,182,0,0
1135,182,0,0
1136,182,0,0
1137,182,0,0
1138,74,-108,0
1139,74,0,0
1140,74,0,0
1141,182,108,0
1142,182,0,0
1143,182,0,0
1144,182,0,0
1145,182,0,0
1146,74,-108,0
1147,182,108,0
1148,714,532,0
1149,714,0,0
1150,704,-10,0
1151,182,-522,0
1152,182,0,0
1153,182,0,0
1154,182,0,0
1155,182,0,0
1156,182,0,0
1157,182,0,0
1158,74,-108,0
1159,182,108,0
1160,84,-98,0
1161,84,0,0
1162,82,-2,0
1163,82,0,0
1164,182,100,0
1165,75,-107,0
1166,182,107,0
1167,182,0,0
1168,182,0,0
1169,182,0,0
1170,182,0,0
1171,182,0,0
1172,182,0,0
1173,183,1,0
1174,183,0,0
1175,75,-108,0
1176,183,108,0
1177,183,0,0
1178,183,0,0
1179,183,0,0
1180,95,-88,0
1181,95,0,0
1182,95,0,0
1183,95,0,0
1184,91,-4,0
1185,91,0,0
1186,183,92,0
1187,75,-108,0
1188,75,0,0
1189,75,0,0
1190,74,-1,0
1191,74,0,0
1192,74,0,0
1193,95,21,0
1194,95,0,0
1195,74,-21,0
1196,74,0,0
1197,74,0,0
1198,689,615,0
1199,182,-507,0
1200,182,0,0
1201,182,0,0
1202,182,0,0
1203,182,0,0
1204,182,0,0
1205,182,0,0
1206,182,0,0
1207,182,0,0
1208,182,0,0
1209,73,-109,0
1210,182,109,0
1211,95,-87,0
1212,95,0,0
1213,73,-22,0
1214,87,14,0
1215,87,0,0
1216,73,-14,0
1217,73,0,0
1218,73,0,0
1219,87,14,0
1220,73,-14,0
1221,73,0,0
1222,73,0,0
1223,73,0,0
1224,73,0,0
1225,75,2,0
1226,73,-2,0
1227,73,0,0
1228,73,0,0
1229,73,0,0
1230,73,0,0
1231,87,14,0
1232,73,-14,0
1233,87,14,0
1234,182,95,0
1235,182,0,0
1236,182,0,0
1237,182,0,0
1238,73,-109,0
1239,73,0,0
1240,81,8,0
1241,81,0,0
1242,81,0,0
1243,73,-8,0
1244,73,0,0
1245,182,109,0
1246,182,0,0
1247,182,0,0
1248,76,-106,0
1249,76,0,0
1250,77,1,0
1251,77,0,0
1252,81,4,0
1253,81,0,0
1254,81,0,0
1255,73,-8,0
1256,74,1,0
1257,74,0,0
1258,87,13,0
1259,94,7,0
1260,94,0,0
1261,94,0,0
1262,94,0,0
1263,94,0,0
1264,94,0,0
1265,92,-2,0
1266,92,0,0
1267,92,0,0
1268,84,-8,0
1269,81,-3,0
1270,81,0,0
1271,81,0,0
1272,81,0,0
1273,82,1,0
1274,82,0,0
1275,82,0,0
1276,82,0,0
1277,82,0,0
1278,82,0,0
1279,182,100,0
1280,73,-109,0
1281,73,0,0
1282,73,0,0
